MaintenanceWorkId,Date,Time,WorksDescription,EquipmentId
1,15/05/2014,8:46,tristique est et tempus semper est quam pharetra magna ac,1
2,3/03/2013,15:47,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,4
3,20/11/2013,15:21,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,2
4,15/11/2013,8:36,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,2
5,28/06/2014,14:25,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,5
6,15/05/2013,13:02,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,10
7,26/05/2013,14:04,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,2
8,18/03/2014,11:39,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,10
9,6/12/2013,14:24,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,4
10,31/01/2014,11:04,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,1
11,12/03/2013,15:51,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,7
12,17/10/2013,10:10,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,5
13,6/11/2012,9:56,dapibus duis at velit eu est congue elementum in hac,8
14,7/07/2013,9:37,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae,4
15,12/11/2013,15:10,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla,9
16,9/03/2013,15:53,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,1
17,2/07/2014,8:28,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi,1
18,9/04/2013,10:41,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,2
19,27/04/2013,10:27,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,7
20,2/02/2013,14:15,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,1
21,14/03/2013,14:30,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,3
22,20/04/2013,14:07,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,6
23,28/05/2014,13:19,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,1
24,1/06/2013,13:17,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa,10
25,14/03/2014,16:26,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus,3
26,15/10/2013,11:53,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,8
27,21/10/2013,10:40,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,1
28,31/12/2012,8:55,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,8
29,23/01/2013,14:44,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,5
30,24/11/2013,10:23,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,10
31,10/05/2013,8:52,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,9
32,8/08/2014,12:18,at feugiat non pretium quis lectus suspendisse potenti in eleifend,9
33,1/12/2013,13:32,sollicitudin mi sit amet lobortis sapien sapien non mi integer,10
34,15/10/2012,14:23,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,10
35,9/10/2013,15:55,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula,2
36,14/05/2013,15:40,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,8
37,27/08/2013,12:02,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,7
38,2/04/2014,10:40,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,2
39,12/03/2013,9:42,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in,8
40,16/05/2014,12:53,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa,6
41,7/09/2013,11:18,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,1
42,3/06/2014,12:40,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,4
43,16/12/2012,12:45,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,7
44,28/06/2014,9:11,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,9
45,5/08/2014,13:20,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,9
46,6/01/2013,13:32,nisl duis ac nibh fusce lacus purus aliquet at feugiat,10
47,19/04/2014,15:47,porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi,10
48,25/04/2014,13:02,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,1
49,3/05/2013,10:28,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus,7
50,14/04/2014,9:39,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,9
51,16/09/2013,10:52,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros,5
52,11/11/2013,8:04,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,7
